"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 22, 2022","1,056.70","1,060.30","1,061.90","1,055.00","4.93K","-0.06%"
"Aug 21, 2022","1,057.30","1,057.00","1,062.00","1,055.00","2.34K","0.07%"
"Aug 17, 2022","1,056.60","1,062.90","1,062.90","1,052.00","1.64K","0.71%"
"Aug 16, 2022","1,049.10","1,052.50","1,059.90","1,047.80","7.88K","-0.59%"
"Aug 14, 2022","1,055.30","1,051.10","1,057.00","1,049.00","3.38K","0.40%"
"Aug 11, 2022","1,051.10","1,059.00","1,069.90","1,050.60","5.44K","-0.70%"
"Aug 10, 2022","1,058.50","1,077.10","1,083.00","1,058.00","8.61K","-1.73%"
"Aug 08, 2022","1,077.10","1,066.50","1,090.00","1,066.20","3.93K","-0.44%"
"Aug 07, 2022","1,081.90","1,150.00","1,150.00","1,051.10","16.60K","-0.39%"
"Aug 04, 2022","1,086.10","1,065.00","1,100.10","1,064.80","17.50K","1.92%"
"Aug 03, 2022","1,065.60","1,060.10","1,070.00","1,056.00","3.11K","0.93%"
"Aug 02, 2022","1,055.80","1,058.40","1,059.30","1,048.60","3.59K","0.19%"
"Aug 01, 2022","1,053.80","1,055.00","1,063.20","1,053.00","1.53K","0.35%"
"Jul 31, 2022","1,050.10","1,047.80","1,055.00","1,047.80","2.02K","1.41%"
"Jul 28, 2022","1,035.50","1,044.90","1,046.00","1,033.00","1.67K","-0.90%"
"Jul 27, 2022","1,044.90","1,056.00","1,060.00","1,038.50","1.99K","-1.12%"
"Jul 26, 2022","1,056.70","1,051.90","1,070.00","1,051.90","0.62K","0.46%"
"Jul 25, 2022","1,051.90","1,041.00","1,054.90","1,040.50","1.39K","0.20%"
"Jul 24, 2022","1,049.80","1,060.50","1,060.50","1,046.20","1.55K","-1.01%"
"Jul 21, 2022","1,060.50","1,052.50","1,069.00","1,051.00","2.05K","0.45%"
"Jul 20, 2022","1,055.70","1,058.50","1,064.70","1,054.00","1.95K","-0.26%"
"Jul 19, 2022","1,058.50","1,065.00","1,065.00","1,050.50","3.90K","-1.13%"
"Jul 18, 2022","1,070.60","1,080.00","1,080.00","1,069.00","3.44K","-0.85%"
"Jul 17, 2022","1,079.80","1,088.90","1,088.90","1,077.60","1.95K","0.13%"
"Jul 14, 2022","1,078.40","1,083.50","1,087.80","1,076.10","1.64K","-0.47%"
"Jul 13, 2022","1,083.50","1,073.10","1,094.40","1,073.10","1.28K","-0.18%"
"Jul 12, 2022","1,085.50","1,088.80","1,090.00","1,080.50","0.48K","0.08%"
"Jul 07, 2022","1,084.60","1,085.00","1,090.00","1,080.50","2.46K","0.18%"
"Jul 06, 2022","1,082.70","1,089.00","1,089.00","1,079.10","1.61K","0.43%"
"Jul 05, 2022","1,078.10","1,076.20","1,085.00","1,075.00","0.63K","0.19%"
